uid,eventType,datetime,home_stay
u31,HomeMobility,2013-04-02 15:58:01,False
u31,HomeMobility,2013-04-02 16:18:07,False
u31,HomeMobility,2013-04-02 16:38:07,False
u31,HomeMobility,2013-04-02 16:58:13,False
u31,HomeMobility,2013-04-02 17:18:11,False
u31,HomeMobility,2013-04-02 17:38:07,False
u31,HomeMobility,2013-04-02 17:58:07,False
u31,HomeMobility,2013-04-02 18:16:24,False
u31,HomeMobility,2013-04-02 18:38:07,True
u31,HomeMobility,2013-04-02 18:58:07,True
u31,HomeMobility,2013-04-02 19:18:07,True
u31,HomeMobility,2013-04-02 19:38:07,True
u31,HomeMobility,2013-04-02 19:58:07,True
u31,HomeMobility,2013-04-02 20:18:07,True
u31,HomeMobility,2013-04-02 20:38:07,True
u31,HomeMobility,2013-04-02 20:58:12,True
u31,HomeMobility,2013-04-02 21:18:07,True
u31,HomeMobility,2013-04-02 21:38:07,True
u31,HomeMobility,2013-04-02 21:58:07,True
u31,HomeMobility,2013-04-02 22:18:07,True
u31,HomeMobility,2013-04-02 22:38:07,True
u31,HomeMobility,2013-04-02 22:58:07,True
u31,HomeMobility,2013-04-02 23:18:07,True
u31,HomeMobility,2013-04-02 23:38:07,True
u31,HomeMobility,2013-04-02 23:58:07,True
u31,HomeMobility,2013-04-03 00:18:07,True
u31,HomeMobility,2013-04-03 00:38:07,True
u31,HomeMobility,2013-04-03 00:58:12,True
u31,HomeMobility,2013-04-03 01:18:07,True
u31,HomeMobility,2013-04-03 01:38:07,True
u31,HomeMobility,2013-04-03 01:58:12,True
u31,HomeMobility,2013-04-03 02:18:07,True
u31,HomeMobility,2013-04-03 02:38:14,True
u31,HomeMobility,2013-04-03 02:58:14,True
u31,HomeMobility,2013-04-03 03:18:12,True
u31,HomeMobility,2013-04-03 03:38:10,True
u31,HomeMobility,2013-04-03 03:58:12,True
u31,HomeMobility,2013-04-03 04:18:12,True
u31,HomeMobility,2013-04-03 04:38:12,True
u31,HomeMobility,2013-04-03 04:58:07,True
u31,HomeMobility,2013-04-03 05:18:07,True
u31,HomeMobility,2013-04-03 05:38:07,True
u31,HomeMobility,2013-04-03 05:58:07,True
u31,HomeMobility,2013-04-03 06:18:07,True
u31,HomeMobility,2013-04-03 06:38:07,True
u31,HomeMobility,2013-04-03 06:58:07,True
u31,HomeMobility,2013-04-03 07:18:07,True
u31,HomeMobility,2013-04-03 07:38:12,True
u31,HomeMobility,2013-04-03 07:57:49,True
u31,HomeMobility,2013-04-03 08:18:13,True
u31,HomeMobility,2013-04-03 08:38:07,True
u31,HomeMobility,2013-04-03 08:58:12,True
u31,HomeMobility,2013-04-03 09:18:12,True
u31,HomeMobility,2013-04-03 09:38:07,True
u31,HomeMobility,2013-04-03 09:58:07,True
u31,HomeMobility,2013-04-03 10:18:07,True
u31,HomeMobility,2013-04-03 10:38:07,True
u31,HomeMobility,2013-04-03 10:58:07,True
