uid,typeEvent,inference,startDate,endDate,duration
u08,Physical activity,1,2013-03-29 13:09:41,2013-03-29 13:13:23,222
u08,Physical activity,2,2013-03-29 13:13:25,2013-03-29 13:14:09,44
u08,Physical activity,1,2013-03-29 13:14:12,2013-03-29 13:17:22,190
u08,Physical activity,2,2013-03-29 13:17:25,2013-03-29 13:17:53,28
u08,Physical activity,1,2013-03-29 13:17:56,2013-03-29 13:17:58,2
u08,Physical activity,2,2013-03-29 13:18:01,2013-03-29 13:18:09,8
u08,Physical activity,1,2013-03-29 13:18:11,2013-03-29 13:21:19,188
u08,Physical activity,0,2013-03-29 13:21:22,2013-03-29 13:49:57,1715
u08,Physical activity,3,2013-03-29 13:50:00,2013-03-29 13:50:02,2
u08,Physical activity,0,2013-03-29 13:50:05,2013-03-29 14:18:13,1688
u08,Physical activity,3,2013-03-29 14:21:15,2013-03-29 14:21:15,0
u08,Physical activity,0,2013-03-29 14:21:21,2013-03-29 14:57:50,2189
u08,Physical activity,1,2013-03-29 14:57:52,2013-03-29 14:58:08,16
u08,Physical activity,0,2013-03-29 14:58:10,2013-03-29 15:53:33,3323
u08,Physical activity,1,2013-03-29 15:53:35,2013-03-29 15:57:25,230
u08,Physical activity,2,2013-03-29 15:57:27,2013-03-29 15:57:30,3
u08,Physical activity,1,2013-03-29 15:57:32,2013-03-29 16:01:53,261
u08,Physical activity,3,2013-03-29 16:01:55,2013-03-29 16:02:08,13
u08,Physical activity,0,2013-03-29 16:02:11,2013-03-29 16:05:37,206
u08,Physical activity,1,2013-03-29 16:05:42,2013-03-29 16:10:08,266
u08,Physical activity,0,2013-03-29 16:10:11,2013-03-29 16:49:21,2350
u08,Physical activity,3,2013-03-29 16:49:24,2013-03-29 16:49:29,5
u08,Physical activity,0,2013-03-29 16:49:32,2013-03-29 16:49:42,10
u08,Physical activity,3,2013-03-29 16:49:45,2013-03-29 16:49:52,7
u08,Physical activity,0,2013-03-29 16:49:55,2013-03-29 16:50:13,18
u08,Physical activity,3,2013-03-29 16:53:16,2013-03-29 16:53:18,2
u08,Physical activity,0,2013-03-29 16:53:21,2013-03-29 17:29:52,2191
u08,Physical activity,1,2013-03-29 17:29:59,2013-03-29 17:30:12,13
u08,Physical activity,0,2013-03-29 17:33:16,2013-03-29 17:57:23,1447
u08,Physical activity,3,2013-03-29 17:57:35,2013-03-29 17:57:51,16
u08,Physical activity,0,2013-03-29 17:57:53,2013-03-29 18:53:57,3364
u08,Physical activity,1,2013-03-29 18:53:59,2013-03-29 18:53:59,0
u08,Physical activity,0,2013-03-29 18:54:02,2013-03-29 18:57:20,198
u08,Physical activity,1,2013-03-29 18:57:25,2013-03-29 19:01:15,230
u08,Physical activity,0,2013-03-29 19:01:17,2013-03-29 19:05:35,258
u08,Physical activity,1,2013-03-29 19:05:37,2013-03-29 19:05:58,21
u08,Physical activity,3,2013-03-29 19:06:01,2013-03-29 19:06:03,2
u08,Physical activity,0,2013-03-29 19:06:06,2013-03-29 20:25:31,4765
u08,Physical activity,3,2013-03-29 20:25:34,2013-03-29 20:25:41,7
u08,Physical activity,0,2013-03-29 20:25:44,2013-03-29 20:26:07,23
u08,Physical activity,3,2013-03-29 20:26:10,2013-03-29 20:26:10,0
u08,Physical activity,0,2013-03-29 20:26:12,2013-03-29 20:33:24,432
u08,Physical activity,1,2013-03-29 20:33:34,2013-03-29 20:34:03,29
u08,Physical activity,0,2013-03-29 20:34:05,2013-03-29 20:38:03,238
u08,Physical activity,1,2013-03-29 20:38:06,2013-03-29 20:38:06,0
u08,Physical activity,2,2013-03-29 20:38:09,2013-03-29 20:38:11,2
u08,Physical activity,1,2013-03-29 20:38:14,2013-03-29 20:41:24,190
u08,Physical activity,2,2013-03-29 20:41:27,2013-03-29 20:42:00,33
u08,Physical activity,1,2013-03-29 20:42:03,2013-03-29 20:42:03,0
u08,Physical activity,2,2013-03-29 20:42:06,2013-03-29 20:42:06,0
u08,Physical activity,1,2013-03-29 20:42:08,2013-03-29 20:45:57,229
u08,Physical activity,0,2013-03-29 20:46:00,2013-03-29 22:17:26,5486
u08,Physical activity,1,2013-03-29 22:17:29,2013-03-29 22:18:03,34
u08,Physical activity,0,2013-03-29 22:18:05,2013-03-29 22:18:05,0
u08,Physical activity,1,2013-03-29 22:18:08,2013-03-29 22:21:23,195
u08,Physical activity,2,2013-03-29 22:21:25,2013-03-29 22:21:30,5
u08,Physical activity,1,2013-03-29 22:21:33,2013-03-29 22:25:33,240
u08,Physical activity,0,2013-03-29 22:25:35,2013-03-29 22:25:35,0
u08,Physical activity,1,2013-03-29 22:25:38,2013-03-29 22:25:53,15
u08,Physical activity,0,2013-03-29 22:25:56,2013-03-29 22:25:56,0
u08,Physical activity,1,2013-03-29 22:25:58,2013-03-29 22:30:08,250
u08,Physical activity,0,2013-03-29 22:30:11,2013-03-29 22:45:31,920
u08,Physical activity,1,2013-03-29 22:45:34,2013-03-29 22:53:38,484
u08,Physical activity,0,2013-03-29 22:53:41,2013-03-30 12:38:09,49468
u08,Physical activity,3,2013-03-30 12:38:12,2013-03-30 12:38:12,0
u08,Physical activity,0,2013-03-30 12:38:14,2013-03-30 12:38:30,16
u08,Physical activity,1,2013-03-30 12:41:34,2013-03-30 12:41:34,0
u08,Physical activity,2,2013-03-30 12:41:36,2013-03-30 12:42:31,55
u08,Physical activity,1,2013-03-30 12:45:34,2013-03-30 12:45:47,13
u08,Physical activity,2,2013-03-30 12:45:49,2013-03-30 12:46:15,26
u08,Physical activity,1,2013-03-30 12:46:18,2013-03-30 12:49:41,203
u08,Physical activity,0,2013-03-30 12:49:44,2013-03-30 12:54:06,262
u08,Physical activity,1,2013-03-30 12:54:09,2013-03-30 12:57:40,211
u08,Physical activity,0,2013-03-30 12:57:43,2013-03-30 13:57:38,3595
u08,Physical activity,1,2013-03-30 13:57:40,2013-03-30 13:57:43,3
u08,Physical activity,2,2013-03-30 13:57:46,2013-03-30 14:01:40,234
u08,Physical activity,0,2013-03-30 14:01:43,2013-03-30 14:05:37,234
u08,Physical activity,2,2013-03-30 14:05:40,2013-03-30 14:06:13,33
u08,Physical activity,1,2013-03-30 14:06:16,2013-03-30 14:06:31,15
u08,Physical activity,0,2013-03-30 14:09:32,2013-03-30 14:49:35,2403
u08,Physical activity,1,2013-03-30 14:49:37,2013-03-30 14:49:53,16
u08,Physical activity,2,2013-03-30 14:49:55,2013-03-30 14:50:11,16
u08,Physical activity,1,2013-03-30 14:50:14,2013-03-30 14:53:53,219
u08,Physical activity,2,2013-03-30 14:53:55,2013-03-30 14:54:21,26
